Points,Raw Dim,Compressed Dim,Worst Similarity,Best Similarity,Worst Distance,Best Distance
3,3,2,1,1,2.11E-08,0
3,4,2,1,1,2.11E-08,0
3,4,3,1,1,1.83E-08,0
3,5,2,1,1,2.98E-08,0
3,5,3,1,1,3.49E-08,0
3,5,4,1,1,2.98E-08,0
3,6,2,1,1,2.79E-08,0
3,6,3,1,1,2.98E-08,0
3,6,4,1,1,2.58E-08,0
3,6,5,1,1,2.98E-08,0
3,7,2,1,1,3.65E-08,0
3,7,3,1,1,2.58E-08,0
3,7,4,1,1,2.36E-08,0
3,7,5,1,1,2.36E-08,0
3,7,6,1,1,2.58E-08,0
3,8,2,1,1,2.58E-08,0
3,8,3,1,1,2.79E-08,0
3,8,4,1,1,2.58E-08,0
3,8,5,1,1,2.79E-08,0
3,8,6,1,1,2.79E-08,0
3,8,7,1,1,2.98E-08,0
3,9,2,1,1,2.98E-08,0
3,9,3,1,1,2.79E-08,0
3,9,4,1,1,2.98E-08,0
3,9,5,1,1,2.98E-08,0
3,9,6,1,1,2.98E-08,0
3,9,7,1,1,2.98E-08,0
3,9,8,1,1,3.49E-08,0
3,10,2,1,1,2.11E-08,0
3,10,3,1,1,2.79E-08,0
3,10,4,1,1,2.36E-08,0
3,10,5,1,1,2.11E-08,0
3,10,6,1,1,2.79E-08,0
3,10,7,1,1,2.11E-08,0
3,10,8,1,1,2.98E-08,0
3,10,9,1,1,2.11E-08,0
3,11,2,1,1,2.79E-08,0
3,11,3,1,1,2.98E-08,0
3,11,4,1,1,2.98E-08,0
3,11,5,1,1,3.16E-08,0
3,11,6,1,1,2.98E-08,0
3,11,7,1,1,2.98E-08,0
3,11,8,1,1,3.16E-08,0
3,11,9,1,1,2.98E-08,0
3,11,10,1,1,2.98E-08,0
3,12,2,1,1,2.36E-08,0
3,12,3,1,1,2.11E-08,0
3,12,4,1,1,2.11E-08,0
3,12,5,1,1,2.36E-08,0
3,12,6,1,1,2.36E-08,0
3,12,7,1,1,2.11E-08,0
3,12,8,1,1,2.36E-08,0
3,12,9,1,1,2.58E-08,0
3,12,10,1,1,2.98E-08,0
3,12,11,1,1,2.11E-08,0
3,13,2,1,1,2.11E-08,0
3,13,3,1,1,1.49E-08,0
3,13,4,1,1,2.11E-08,0
3,13,5,1,1,2.11E-08,0
3,13,6,1,1,2.11E-08,0
3,13,7,1,1,2.11E-08,0
3,13,8,1,1,2.11E-08,0
3,13,9,1,1,2.11E-08,0
3,13,10,1,1,2.11E-08,0
3,13,11,1,1,0,0
3,13,12,1,1,2.36E-08,0
3,14,2,1,1,1.49E-08,0
3,14,3,1,1,2.11E-08,0
3,14,4,1,1,1.49E-08,0
3,14,5,1,1,2.11E-08,0
3,14,6,1,1,1.49E-08,0
3,14,7,1,1,1.49E-08,0
3,14,8,1,1,2.11E-08,0
3,14,9,1,1,2.11E-08,0
3,14,10,1,1,2.11E-08,0
3,14,11,1,1,1.49E-08,0
3,14,12,1,1,0,0
3,14,13,1,1,2.11E-08,0
3,15,2,1,1,2.98E-08,0
3,15,3,1,1,2.98E-08,0
3,15,4,1,1,2.11E-08,0
3,15,5,1,1,2.11E-08,0
3,15,6,1,1,2.11E-08,0
3,15,7,1,1,2.58E-08,0
3,15,8,1,1,2.11E-08,0
3,15,9,1,1,2.11E-08,0
3,15,10,1,1,2.98E-08,0
3,15,11,1,1,2.98E-08,0
3,15,12,1,1,2.98E-08,0
3,15,13,1,1,2.11E-08,0
3,15,14,1,1,2.79E-08,0
3,16,2,1,1,3.33E-08,0
3,16,3,1,1,2.79E-08,0
3,16,4,1,1,2.79E-08,0
3,16,5,1,1,2.98E-08,0
3,16,6,1,1,2.79E-08,0
3,16,7,1,1,2.79E-08,0
3,16,8,1,1,2.98E-08,0
3,16,9,1,1,2.98E-08,0
3,16,10,1,1,2.11E-08,0
3,16,11,1,1,2.98E-08,0
3,16,12,1,1,2.98E-08,0
3,16,13,1,1,2.79E-08,0
3,16,14,1,1,2.98E-08,0
3,16,15,1,1,2.36E-08,0
3,17,2,1,1,2.58E-08,0
3,17,3,1,1,2.98E-08,0
3,17,4,1,1,2.11E-08,0
3,17,5,1,1,2.11E-08,0
3,17,6,1,1,2.11E-08,0
3,17,7,1,1,2.98E-08,0
3,17,8,1,1,2.98E-08,0
3,17,9,1,1,2.79E-08,0
3,17,10,1,1,2.98E-08,0
3,17,11,1,1,2.98E-08,0
3,17,12,1,1,2.79E-08,0
3,17,13,1,1,2.98E-08,0
3,17,14,1,1,2.98E-08,0
3,17,15,1,1,3.16E-08,0
3,17,16,1,1,2.98E-08,0
3,18,2,1,1,2.11E-08,0
3,18,3,1,1,2.36E-08,0
3,18,4,1,1,2.58E-08,0
3,18,5,1,1,2.36E-08,0
3,18,6,1,1,2.58E-08,0
3,18,7,1,1,2.11E-08,0
3,18,8,1,1,2.36E-08,0
3,18,9,1,1,2.11E-08,0
3,18,10,1,1,2.36E-08,0
3,18,11,1,1,2.36E-08,0
3,18,12,1,1,2.11E-08,0
3,18,13,1,1,2.36E-08,0
3,18,14,1,1,2.36E-08,0
3,18,15,1,1,2.11E-08,0
3,18,16,1,1,2.11E-08,0
3,18,17,1,1,2.58E-08,0
3,19,2,1,1,2.11E-08,0
3,19,3,1,1,2.98E-08,0
3,19,4,1,1,2.11E-08,0
3,19,5,1,1,2.11E-08,0
3,19,6,1,1,2.11E-08,0
3,19,7,1,1,1.49E-08,0
3,19,8,1,1,2.11E-08,0
3,19,9,1,1,2.11E-08,0
3,19,10,1,1,2.36E-08,0
3,19,11,1,1,2.11E-08,0
3,19,12,1,1,2.11E-08,0
3,19,13,1,1,2.79E-08,0
3,19,14,1,1,2.11E-08,0
3,19,15,1,1,2.11E-08,0
3,19,16,1,1,2.11E-08,0
3,19,17,1,1,2.79E-08,0
3,19,18,1,1,2.11E-08,0
3,20,2,1,1,2.11E-08,0
3,20,3,1,1,2.36E-08,0
3,20,4,1,1,2.11E-08,0
3,20,5,1,1,2.36E-08,0
3,20,6,1,1,2.11E-08,0
3,20,7,1,1,2.36E-08,0
3,20,8,1,1,2.36E-08,0
3,20,9,1,1,2.11E-08,0
3,20,10,1,1,2.58E-08,0
3,20,11,1,1,2.11E-08,0
3,20,12,1,1,2.11E-08,0
3,20,13,1,1,2.11E-08,0
3,20,14,1,1,2.11E-08,0
3,20,15,1,1,2.98E-08,0
3,20,16,1,1,2.11E-08,0
3,20,17,1,1,2.79E-08,0
3,20,18,1,1,2.36E-08,0
3,20,19,1,1,2.11E-08,0
4,3,2,0.998108047,0.999786301,0.061513457,0.020673616
4,4,2,0.998468207,0.998703563,0.055349666,0.050920277
4,4,3,0.927464646,0.99884074,0.380881489,0.048151011
4,5,2,0.999884227,0.999918434,0.015216623,0.012772307
4,5,3,0.989479209,0.999946532,0.14505717,0.010340986
4,5,4,0.999861028,0.999971307,0.016671624,0.007575337
4,6,2,0.999380811,0.999522738,0.035190583,0.030895382
4,6,3,0.985945793,0.999564519,0.167655642,0.02951207
4,6,4,0.999390253,0.999960057,0.034921243,0.008937936
4,6,5,0.999426864,0.999978617,0.033856626,0.006539548
4,7,2,0.999529053,0.999722291,0.03069028,0.023567304
4,7,3,0.99914779,0.99970562,0.041284629,0.024264395
4,7,4,0.999618088,0.999928468,0.027637377,0.011960915
4,7,5,0.999536055,0.999922363,0.030461299,0.012460915
4,7,6,0.999596003,0.999927639,0.028425238,0.012030084
4,8,2,0.999653568,0.999727774,0.026322313,0.023333478
4,8,3,0.998107093,0.999586811,0.061528966,0.028746779
4,8,4,0.999251719,0.999936483,0.038685417,0.011270956
4,8,5,0.999302868,0.9998523,0.037339856,0.017187193
4,8,6,0.999361394,0.999912207,0.035738113,0.013250872
4,8,7,0.999399693,0.999866943,0.034649868,0.016312999
4,9,2,0.999874093,0.999904514,0.015868673,0.013819229
4,9,3,0.996448701,0.999821474,0.084276908,0.018895814
4,9,4,0.999801357,0.999871173,0.019932016,0.016051604
4,9,5,0.999802487,0.999860974,0.019875252,0.016674907
4,9,6,0.999796989,0.999862622,0.020149987,0.016575752
4,9,7,0.999809158,0.999867283,0.019536715,0.016292122
4,9,8,0.999796299,0.999860408,0.020184179,0.016708799
4,10,2,0.999766449,0.999854906,0.021612535,0.017034898
4,10,3,0.999785829,0.999899341,0.020696421,0.014188664
4,10,4,0.999809181,0.999891935,0.019535574,0.014701368
4,10,5,0.999777118,0.999946408,0.021113132,0.010352992
4,10,6,0.999802753,0.999878332,0.019861876,0.015599208
4,10,7,0.99981314,0.999884566,0.019331818,0.015194341
4,10,8,0.999816989,0.999880595,0.019131677,0.015453507
4,10,9,0.999781809,0.999882893,0.02088976,0.015304059
4,11,2,0.996026776,0.999912563,0.089142856,0.013224023
4,11,3,0.997824172,0.999910419,0.065967076,0.013385135
4,11,4,0.99981773,0.999947251,0.019092934,0.010271208
4,11,5,0.999817468,0.999941126,0.01910667,0.010851176
4,11,6,0.999835028,0.999940049,0.01816436,0.010949964
4,11,7,0.999840102,0.999939266,0.017882822,0.011021251
4,11,8,0.999840201,0.999933966,0.017877302,0.011492045
4,11,9,0.999834689,0.999936224,0.018183021,0.011293868
4,11,10,0.999841086,0.999936257,0.017827719,0.011290989
4,12,2,0.998055125,0.999908868,0.062367861,0.01350055
4,12,3,0.99486736,0.999953536,0.101317717,0.009639868
4,12,4,0.999987143,0.999998389,0.005070897,0.00179522
4,12,5,0.999986818,0.999998598,0.005134585,0.001674386
4,12,6,0.999986363,0.999998549,0.005222535,0.001703362
4,12,7,0.999986986,0.999998557,0.005101701,0.001698574
4,12,8,0.999986307,0.999998611,0.005233097,0.001666707
4,12,9,0.999986444,0.99999818,0.005206868,0.001907987
4,12,10,0.999987335,0.999998551,0.00503289,0.001702149
4,12,11,0.999986441,0.999998098,0.005207526,0.001950461
4,13,2,0.999907212,0.999936332,0.013622652,0.011284312
4,13,3,0.99965226,0.999933902,0.026371967,0.011497632
4,13,4,0.999907207,0.999994716,0.013622984,0.003250804
4,13,5,0.999915597,0.999994626,0.012992527,0.003278538
4,13,6,0.99993188,0.99999497,0.011672157,0.003171769
4,13,7,0.999885887,0.999993955,0.015107169,0.003477143
4,13,8,0.999923901,0.999994452,0.01233684,0.003331178
4,13,9,0.999932164,0.999993148,0.011647811,0.003701943
4,13,10,0.999930397,0.999994364,0.011798525,0.003357406
4,13,11,0.99992563,0.999993248,0.012195907,0.003674811
4,13,12,0.999928125,0.999994098,0.011989574,0.003435816
4,14,2,0.999980798,0.99998611,0.006197157,0.005270607
4,14,3,0.999945061,0.999990987,0.010482295,0.004245807
4,14,4,0.999977808,0.999997308,0.006662146,0.002320332
4,14,5,0.999979478,0.999998228,0.006406543,0.001882523
4,14,6,0.999985379,0.999996017,0.00540753,0.002822561
4,14,7,0.999981517,0.999997189,0.006080015,0.002371073
4,14,8,0.999986147,0.999997302,0.005263588,0.002323068
4,14,9,0.999986795,0.999996864,0.005139119,0.002504222
4,14,10,0.999986206,0.999996264,0.005252351,0.002733402
4,14,11,0.999986093,0.999996397,0.005273988,0.002684353
4,14,12,0.999987286,0.999996141,0.005042583,0.002778031
4,14,13,0.999986447,0.999995572,0.005206428,0.002976056
4,15,2,0.999989022,0.999994252,0.004685732,0.003390553
4,15,3,0.997836282,0.999996608,0.065783252,0.002604547
4,15,4,0.99999384,0.999995191,0.003510122,0.00310144
4,15,5,0.999993832,0.999997739,0.003512323,0.002126449
4,15,6,0.999993766,0.999995339,0.003531058,0.003053153
4,15,7,0.999993948,0.999995352,0.003479141,0.003048809
4,15,8,0.999993754,0.999995087,0.003534475,0.003134785
4,15,9,0.999993775,0.999995407,0.003528443,0.003030964
4,15,10,0.999993739,0.999995005,0.003538643,0.003160723
4,15,11,0.999994026,0.999994944,0.003456636,0.003179804
4,15,12,0.999993727,0.999995131,0.003542002,0.003120544
4,15,13,0.999993875,0.999994965,0.003500032,0.003173347
4,15,14,0.99999388,0.999995022,0.003498435,0.003155163
4,16,2,0.999964724,0.99997168,0.008399533,0.007525899
4,16,3,0.99861758,0.999948876,0.052581741,0.010111811
4,16,4,0.999935146,0.999968822,0.011388941,0.007896546
4,16,5,0.999938795,0.999962605,0.011063908,0.008648152
4,16,6,0.99993474,0.999962527,0.011424499,0.008657134
4,16,7,0.999938567,0.999963396,0.011084526,0.008556208
4,16,8,0.999938515,0.999963624,0.011089165,0.008529441
4,16,9,0.999940036,0.999962426,0.010951178,0.008668784
4,16,10,0.999940109,0.999963749,0.010944497,0.008514788
4,16,11,0.99993995,0.999961864,0.010959034,0.008733402
4,16,12,0.999937681,0.999964626,0.011164155,0.008411145
4,16,13,0.999938628,0.99996396,0.011078947,0.008489968
4,16,14,0.999940082,0.999961924,0.010946967,0.008726499
4,16,15,0.99994065,0.999963012,0.010894931,0.008600959
4,17,2,0.999975224,0.999988129,0.007039271,0.004872582
4,17,3,0.99841926,0.999972604,0.056227044,0.007402133
4,17,4,0.999972703,0.999993802,0.007388776,0.003520689
4,17,5,0.999973189,0.999993834,0.00732272,0.003511776
4,17,6,0.999974124,0.999993507,0.007193899,0.003603529
4,17,7,0.999969744,0.9999936,0.007778936,0.0035777
4,17,8,0.999970596,0.999993714,0.007668673,0.003545726
4,17,9,0.999972088,0.999993503,0.007471555,0.003604712
4,17,10,0.999972373,0.999993894,0.007433353,0.003494593
4,17,11,0.99997382,0.99999339,0.007236045,0.003636056
4,17,12,0.99997139,0.999993717,0.007564425,0.003544923
4,17,13,0.999972713,0.999993732,0.007387383,0.003540536
4,17,14,0.99997282,0.99999386,0.007372978,0.003504371
4,17,15,0.999973414,0.999993952,0.007291962,0.003477791
4,17,16,0.999974614,0.999993727,0.007125471,0.003542136
4,18,2,0.999957434,0.999979702,0.00922672,0.006371465
4,18,3,0.999205997,0.999979693,0.039849802,0.006372879
4,18,4,0.999967238,0.999997378,0.008094741,0.002290093
4,18,5,0.999958247,0.999996864,0.009138137,0.002504369
4,18,6,0.99996487,0.999996329,0.00838217,0.002709739
4,18,7,0.999956658,0.999997183,0.009310448,0.002373576
4,18,8,0.999966045,0.999996964,0.008240783,0.002464097
4,18,9,0.999958449,0.999996912,0.009116056,0.002485013
4,18,10,0.999964724,0.999997118,0.008399577,0.002400687
4,18,11,0.999961537,0.999997154,0.008770782,0.00238569
4,18,12,0.99996575,0.999996672,0.008276455,0.00258009
4,18,13,0.99995666,0.999997061,0.009310195,0.002424474
4,18,14,0.999961617,0.999997031,0.008761585,0.002436669
4,18,15,0.999964656,0.999997093,0.008407608,0.002411096
4,18,16,0.999960576,0.999996994,0.00887962,0.002451822
4,18,17,0.999959667,0.999996705,0.00898141,0.002567063
4,19,2,0.999995955,0.999997341,0.00284444,0.002305955
4,19,3,0.999993047,0.999996721,0.003729141,0.002560791
4,19,4,0.999995004,0.999998466,0.003160883,0.001751405
4,19,5,0.999994106,0.999997403,0.003433303,0.002279204
4,19,6,0.999995385,0.999997629,0.003038047,0.002177669
4,19,7,0.999994461,0.999996702,0.003328234,0.002568121
4,19,8,0.9999947,0.999996646,0.003255762,0.002590089
4,19,9,0.999995002,0.999997215,0.003161785,0.002360068
4,19,10,0.999995356,0.999997216,0.003047508,0.002359678
4,19,11,0.999995478,0.999996869,0.003007204,0.002502594
4,19,12,0.999994898,0.999996971,0.003194432,0.0024613
4,19,13,0.99999478,0.999996929,0.003230953,0.002478311
4,19,14,0.999994979,0.999996567,0.003168809,0.002620471
4,19,15,0.999994808,0.999996522,0.003222333,0.002637325
4,19,16,0.999995063,0.999997025,0.003142191,0.002439392
4,19,17,0.999994564,0.999996753,0.003297399,0.002548226
4,19,18,0.999994874,0.999996559,0.003201919,0.002623326
4,20,2,0.999973738,0.999986426,0.007247296,0.005210365
4,20,3,0.999888546,0.999966541,0.014930122,0.008180325
4,20,4,0.999954021,0.999972578,0.009589519,0.007405727
4,20,5,0.99995376,0.999971056,0.009616699,0.00760842
4,20,6,0.999947579,0.999970708,0.010239256,0.007653964
4,20,7,0.999951013,0.999972973,0.009898152,0.007352164
4,20,8,0.999951927,0.99997116,0.009805429,0.007594758
4,20,9,0.999954715,0.999972316,0.009516803,0.00744094
4,20,10,0.999954803,0.999971379,0.009507587,0.007565872
4,20,11,0.999953053,0.999971586,0.009689939,0.007538456
4,20,12,0.999953308,0.99997111,0.009663552,0.007601312
4,20,13,0.999954073,0.999972337,0.009584008,0.007438108
4,20,14,0.99995314,0.999970408,0.009680936,0.007693118
4,20,15,0.999951968,0.999972152,0.009801233,0.00746296
4,20,16,0.99995279,0.999970157,0.009716975,0.007725626
4,20,17,0.999951539,0.99997015,0.009844904,0.007726576
4,20,18,0.999954038,0.999969388,0.009587663,0.007824625
4,20,19,0.999952411,0.999970004,0.009755878,0.007745395
5,3,2,0.987911097,0.997746743,0.155492138,0.06713058
5,4,2,0.997855964,0.998847093,0.065483376,0.048018899
5,4,3,0.998318402,0.99954052,0.057993062,0.030314341
5,5,2,0.998981094,0.999119523,0.045142139,0.041963712
5,5,3,0.997217794,0.998397082,0.074594986,0.056620102
5,5,4,0.996936715,0.999230083,0.078272409,0.039240724
5,6,2,0.998798316,0.999211077,0.049024153,0.039722118
5,6,3,0.99596513,0.998868022,0.089831736,0.047581048
5,6,4,0.996878402,0.999684358,0.079013895,0.025125352
5,6,5,0.996908358,0.999467552,0.07863386,0.032632756
5,7,2,0.999845643,0.999917229,0.017570243,0.012866307
5,7,3,0.995341738,0.999955095,0.096522142,0.009476773
5,7,4,0.999936734,0.999988586,0.011248645,0.004777952
5,7,5,0.999935774,0.999989712,0.011333692,0.004535986
5,7,6,0.999928311,0.999990219,0.011974044,0.004422933
5,8,2,0.996334386,0.998845081,0.085622585,0.048060769
5,8,3,0.970296571,0.999435561,0.24373522,0.033598793
5,8,4,0.997524686,0.999314069,0.0703607,0.037038666
5,8,5,0.999495103,0.999814432,0.031777263,0.0192649
5,8,6,0.996473578,0.999807197,0.083981217,0.019636833
5,8,7,0.997930778,0.999230655,0.064330737,0.039226137
5,9,2,0.999929413,0.999967643,0.011881655,0.008044513
5,9,3,0.999948101,0.999972749,0.010188113,0.007382567
5,9,4,0.999901516,0.999980543,0.014034497,0.00623814
5,9,5,0.999949902,0.999994802,0.010009824,0.00322416
5,9,6,0.999938096,0.999994701,0.011126861,0.003255556
5,9,7,0.999926576,0.999986079,0.012118078,0.005276466
5,9,8,0.99993527,0.999974055,0.011378009,0.007203514
5,10,2,0.999691494,0.999919907,0.024839724,0.0126565
5,10,3,0.998704552,0.999904208,0.050900839,0.013841419
5,10,4,0.999814119,0.999934898,0.019281152,0.011410713
5,10,5,0.999701402,0.999924208,0.024437581,0.012311915
5,10,6,0.999774638,0.99992277,0.021230253,0.012428194
5,10,7,0.999835442,0.999932864,0.01814156,0.011587608
5,10,8,0.999791475,0.9999295,0.020421819,0.01187435
